weights_str,w0,w1,w2,reg_ip,mae_ERA,mae_WHIP
8/4/2,8,4,2,300,0.72683,0.13754
8/3/3,8,3,3,300,0.72686,0.13756
8/1/1,8,1,1,600,0.72693,0.13774
6/3/3,6,3,3,200,0.72731,0.13742
7/2/1,7,2,1,400,0.72737,0.13763
5/1/3,5,1,3,300,0.72755,0.13768
8/1/2,8,1,2,600,0.72772,0.13741
6/4/1,6,4,1,200,0.72794,0.13786
7/2/3,7,2,3,300,0.72811,0.13809
7/5/2,7,5,2,200,0.7282,0.13781
8/3/1,8,3,1,400,0.72841,0.13773
7/2/4,7,2,4,300,0.72841,0.13792
6/3/2,6,3,2,200,0.72856,0.13772
6/2/1,6,2,1,300,0.72871,0.13771
4/1/3,4,1,3,200,0.72873,0.13804
3/1/4,3,1,4,200,0.72901,0.13704
8/5/1,8,5,1,300,0.72906,0.13764
5/2/4,5,2,4,200,0.72909,0.138
6/3/4,6,3,4,200,0.72933,0.13769
4/1/4,4,1,4,200,0.7299,0.13758
7/4/3,7,4,3,200,0.73001,0.13788
4/1/1,4,1,1,200,0.73003,0.13812
8/2/2,8,2,2,400,0.73003,0.13812
6/1/1,6,1,1,400,0.73046,0.13785
7/4/4,7,4,4,200,0.7305,0.13793
7/2/2,7,2,2,300,0.73077,0.13847
5/1/1,5,1,1,300,0.73086,0.13783
7/3/1,7,3,1,300,0.73087,0.13803
7/4/2,7,4,2,200,0.73126,0.13808
8/3/2,8,3,2,300,0.73146,0.13846
8/5/3,8,5,3,200,0.73207,0.1382
5/2/1,5,2,1,200,0.73223,0.13816
7/1/4,7,1,4,400,0.73243,0.13847
8/5/4,8,5,4,200,0.73245,0.13831
7/3/3,7,3,3,200,0.73268,0.13836
7/1/3,7,1,3,400,0.7327,0.13859
6/2/3,6,2,3,200,0.7327,0.13861
7/1/2,7,1,2,400,0.7329,0.13837
8/4/1,8,4,1,300,0.73368,0.13839
6/1/4,6,1,4,300,0.73404,0.13852
7/3/4,7,3,4,200,0.7342,0.13872
6/1/2,6,1,2,300,0.73455,0.13859
8/5/2,8,5,2,200,0.73459,0.13863
8/2/3,8,2,3,300,0.7349,0.13917
7/1/1,7,1,1,400,0.73491,0.13875
6/2/2,6,2,2,200,0.73491,0.13891
7/5/1,7,5,1,200,0.73499,0.13877
6/1/3,6,1,3,300,0.73509,0.13889
8/4/4,8,4,4,200,0.73542,0.13871
7/3/2,7,3,2,200,0.73545,0.13885
6/2/4,6,2,4,200,0.73551,0.13895
8/4/3,8,4,3,200,0.7361,0.13886
8/2/4,8,2,4,300,0.73633,0.13919
8/2/1,8,2,1,400,0.73684,0.13893
6/3/1,6,3,1,200,0.73735,0.13899
7/2/1,7,2,1,300,0.73785,0.13922
8/1/4,8,1,4,400,0.73799,0.13937
8/3/1,8,3,1,300,0.73843,0.13936
8/1/3,8,1,3,400,0.73845,0.1395
5/1/2,5,1,2,200,0.73853,0.13926
7/4/1,7,4,1,200,0.73865,0.13906
5/1/4,5,1,4,200,0.73909,0.13958
8/4/2,8,4,2,200,0.73922,0.13938
8/3/4,8,3,4,200,0.73936,0.13955
8/3/3,8,3,3,200,0.73938,0.13949
8/2/2,8,2,2,300,0.73985,0.1396
5/1/3,5,1,3,200,0.74086,0.13953
